:START_ID,:END_ID,:TYPE,subject_entity,object_entity,source_type
GOLDMAN_SACHS_GS.N,MARVELL,UPGRADE,ORG,ORG,News
APPLE,VENDORS,INSTRUCT,ORG,PRODUCT,News
ABADA,BITFLY,RECOMMEND,PERSON,PERSON,News
SOUTH_AFRICA,SALES,RUN,GPE,PRODUCT,News
APPLE,IPHONE,SLASH,ORG,ORG,News
WILLIAM_HUFFHINE,SUCCESS,FIND,PERSON,ORG,News
RIVIAN,R.J._SCARINGE,ADD,NORP,PERSON,News
SHORTAGES,CONSUMERS,HARM,ORG,GPE,News
THE_COMMERCE_DEPARTMENT,WARREN,USE,ORG,PERSON,News
AMERICANS,BIDEN,BLAME,NORP,PERSON,News
CHINA,TAIWAN,INVADE,GPE,GPE,News
CHIPS,STATESIDE,BUILD,ORG,PRODUCT,News
LUCID_MOTORS,TESLA,SURPASS,ORG,PRODUCT,News
TESLA,REVENUE,GENERATE,PRODUCT,PRODUCT,News
CLIENTS,ANALYST_DANIEL_IVES,RAISE,ORG,ORG,News
2022,CHINA,REPRESENT,PRODUCT,GPE,News
CLIENTS,ANALYST_DANIEL_IVES,WRITE,ORG,ORG,News
TESLA,MODEL_S,TELL,PRODUCT,ORG,News
HOMEOWNERS,MONEY,SPEND,ORG,ORG,News
KATE_VALE,ALIAVIA_VENTURES,LAUNCH,PERSON,ORG,News
ELON_MUSKS,TWITTER,TROLL,PERSON,GPE,News
SPOTIFY,WHOOSHKAA,ACQUIRE,PERSON,ORG,News
RAPIDPAY,QUICKAPAY,ACQUIRE,ORG,ORG,News
HOUZZ,CONX,ACQUIRE,PERSON,ORG,News
HERTZ,CUSTOMERS,INDUCE,GPE,ORG,News
ALEXORACLE,CERNER,BUY,ORG,PRODUCT,News
COMPANIES,RISKS,DETECT,ORG,PRODUCT,News
TESLA_TSLA,SALES,RAMP,PERSON,PRODUCT,News
APPLE,APPLE_GLASSES,ANTICIPATE,ORG,ORG,News
HEARSCH,CNBC,TELL,PERSON,ORG,News
TROY_FORD,HERTZ,PREFER,ORG,GPE,News
INTELLIGENCER,HELLER,TELL,GPE,PERSON,News
ZIPCAR,HELLER,PAY,GPE,PERSON,News
CISCO_SYSTEMS,SOCIO_LABS,BOOST,ORG,PERSON,News
CISCO_SYSTEMS,HYBRIDIZATION,TOUT,ORG,GPE,News
CISCO_SYSTEMS,SHARE,GAIN,ORG,ORG,News
CISCO_SYSTEMS,BROADSOFT,BUY,ORG,ORG,News
